,ID1,Topic1,ID2,Topic2,Count
899,136173,skype,136324,deployed,6.0
902,136173,skype,136389,2016,108.0
904,136173,skype,136509,1996,6.0
905,136173,skype,136566,shapiro,8.0
912,136173,skype,137202,clicking,6.0
914,136173,skype,137361,dnc,9.0
917,136173,skype,139147,san francisco ca,76.0
918,136173,skype,139369,august 25,10.0
920,136173,skype,139609,aug 24,21.0
921,136173,skype,140451,gagan,8.0
923,136173,skype,140565,248,24.0
924,136173,skype,140674,535,30.0
928,136173,skype,141202,aug 25,85.0
929,136173,skype,141264,847,6.0
930,136173,skype,141296,handoff,6.0
931,136173,skype,142180,postgresql,8.0
932,136173,skype,142622,timestamp,7.0
933,136173,skype,142939,callbacks,54.0
935,136173,skype,143147,jira,6.0
936,136173,skype,149935,scoreboard,18.0
937,136173,skype,152222,aug 22,7.0
938,136173,skype,156226,2017,131.0
939,136173,skype,156235,cto,45.0
940,136173,skype,156236,i’m,20.0
942,136173,skype,156243,don’t,8.0
943,136173,skype,156257,webapp,6.0
945,136173,skype,156328,etan,23.0
947,136173,skype,156351,rowell,28.0
948,136173,skype,156352,paulus,54.0
950,136173,skype,156359,tcpa,9.0
951,136173,skype,156375,callback,46.0
952,136173,skype,156386,andrew weiss,67.0
954,136173,skype,156424,schaumburg,6.0
955,136173,skype,156425,273,6.0
956,136173,skype,156430,lookup,7.0
957,136173,skype,156447,bryon,100.0
958,136173,skype,156448,the callback,13.0
959,136173,skype,156465,sabath,15.0
966,136173,skype,156811,hyman,6.0
967,136173,skype,156833,ssn,8.0
969,136173,skype,158334,Bryan Starbuck,21.0
971,136173,skype,158792,starbuck,88.0
972,136180,startups,136086,ror,12.0
974,136180,startups,136162,css,6.0
975,136180,startups,136180,startups,11.0
979,136180,startups,136233,javascript,6.0
982,136180,startups,136388,iphone,10.0
983,136180,startups,136389,2016,50.0
987,136180,startups,137060,html,6.0
993,136180,startups,137533,recruiting,8.0
996,136180,startups,140138,11am,7.0
1003,136180,startups,142180,postgresql,6.0
1004,136180,startups,143028,mysql,6.0
1010,136180,startups,156226,2017,35.0
1011,136180,startups,156235,cto,27.0
1012,136180,startups,156236,i’m,6.0
1014,136180,startups,156243,don’t,8.0
1016,136180,startups,156257,webapp,9.0
1017,136180,startups,156269,json,6.0
1026,136180,startups,158334,Bryan Starbuck,11.0
1027,136180,startups,158792,starbuck,69.0
1031,136181,having,136114,adding,9.0
1038,136181,having,136181,having,76.0
1045,136181,having,136257,devkota,26.0
1046,136181,having,136275,saroj,38.0
1047,136181,having,136276,uploaded,11.0
1048,136181,having,136297,hosted,10.0
1049,136181,having,136304,maharjan,19.0
1050,136181,having,136324,deployed,15.0
1051,136181,having,136326,microsoft,11.0
1052,136181,having,136352,i'd,19.0
1053,136181,having,136389,2016,267.0
1056,136181,having,136435,asap,7.0
1058,136181,having,136566,shapiro,41.0
1060,136181,having,136716,btw,7.0
1062,136181,having,136786,linux,11.0
1063,136181,having,136821,pokhrel,16.0
1065,136181,having,137070,100,8.0
1067,136181,having,137202,clicking,19.0
1069,136181,having,137361,dnc,7.0
1074,136181,having,137553,april 1st,18.0
1077,136181,having,137862,may 1st,8.0
1082,136181,having,138498,sushil,12.0
1086,136181,having,139147,san francisco ca,8.0
1091,136181,having,139786,jul 27,6.0
1098,136181,having,140447,november 22,16.0
1099,136181,having,140451,gagan,50.0
1104,136181,having,140756,march 11,21.0
1107,136181,having,141181,functionality,11.0
1108,136181,having,141183,ios,11.0
1109,136181,having,141202,aug 25,7.0
1110,136181,having,141503,experimenting,7.0
1112,136181,having,141554,ids,6.0
1113,136181,having,141774,2nd half,28.0
1114,136181,having,142180,postgresql,6.0
1116,136181,having,142642,february 15,8.0
1118,136181,having,142871,september 30,11.0
1126,136181,having,143483,june 1st,48.0
1127,136181,having,143523,may 16,18.0
1133,136181,having,145235,security,8.0
1134,136181,having,145452,eng,74.0
1136,136181,having,147757,extracting,7.0
1137,136181,having,148510,may 2nd,20.0
1138,136181,having,148696,capistrano,16.0
1139,136181,having,148722,110,7.0
1142,136181,having,150019,ftp,7.0
1143,136181,having,150395,comcast,6.0
1144,136181,having,151396,jruby,11.0
1149,136181,having,153316,sftp,7.0
1150,136181,having,156226,2017,142.0
1151,136181,having,156235,cto,32.0
1152,136181,having,156236,i’m,49.0
1153,136181,having,156242,shrestha,159.0
1154,136181,having,156243,don’t,64.0
1157,136181,having,156266,1st,21.0
1158,136181,having,156269,json,63.0
1159,136181,having,156296,incontact,50.0
1160,136181,having,156328,etan,48.0
1162,136181,having,156332,westover,12.0
1164,136181,having,156345,justin mcdonald,36.0
1166,136181,having,156351,rowell,89.0
1167,136181,having,156352,paulus,116.0
1169,136181,having,156363,isakov,56.0
1178,136181,having,156439,dialer,27.0
1179,136181,having,156440,office 365,8.0
1182,136181,having,156447,bryon,10.0
1186,136181,having,156465,sabath,12.0
1190,136181,having,156475,mcdonald,19.0
1191,136181,having,156499,reierson,25.0
1201,136181,having,156607,synch,7.0
1204,136181,having,156833,ssn,12.0
1205,136181,having,158262,database,25.0
1206,136181,having,158334,Bryan Starbuck,46.0
1210,136181,having,158792,starbuck,222.0
1211,136181,having,158793,roshan,20.0
1217,136201,usa,136201,usa,37.0
1222,136201,usa,136354,unsubscribe,12.0
1223,136201,usa,136389,2016,12.0
1227,136201,usa,136824,pkwy,7.0
1232,136201,usa,139809,lamichhane,6.0
1235,136201,usa,140624,google docs,9.0
1241,136201,usa,142999,google sheets,12.0
1243,136201,usa,143187,redmond,7.0
1245,136201,usa,145235,security,7.0
1251,136201,usa,156230,google inc,18.0
1252,136201,usa,156231,1600,18.0
1256,136201,usa,156260,one microsoft way,7.0
1257,136201,usa,156328,etan,9.0
1258,136201,usa,156329,844,7.0
1259,136201,usa,156330,556,7.0
1261,136201,usa,156351,rowell,12.0
1262,136201,usa,156352,paulus,6.0
1275,136201,usa,158334,Bryan Starbuck,6.0
1276,136201,usa,158792,starbuck,11.0
1277,136207,backend,136091,honeybadger,6.0
1282,136207,backend,136165,sidekiq,8.0
1284,136207,backend,136207,backend,19.0
1288,136207,backend,136257,devkota,39.0
1289,136207,backend,136275,saroj,40.0
1290,136207,backend,136304,maharjan,20.0
1292,136207,backend,136389,2016,58.0
1293,136207,backend,136435,asap,7.0
1298,136207,backend,136821,pokhrel,14.0
1299,136207,backend,136879,pokharel,10.0
1303,136207,backend,137553,april 1st,12.0
1307,136207,backend,138498,sushil,11.0
1313,136207,backend,141183,ios,7.0
1314,136207,backend,141236,may 30,39.0
1316,136207,backend,141774,2nd half,18.0
1318,136207,backend,142874,crm,10.0
1319,136207,backend,142930,timeout,6.0
1322,136207,backend,143082,3.0,6.0
1325,136207,backend,145452,eng,22.0
1326,136207,backend,149376,whitelist,7.0
1329,136207,backend,152591,nirajan,14.0
1330,136207,backend,153668,whitelisting,12.0
1332,136207,backend,156226,2017,85.0
1334,136207,backend,156235,cto,35.0
1335,136207,backend,156236,i’m,13.0
1337,136207,backend,156243,don’t,17.0
1338,136207,backend,156246,aws,9.0
1339,136207,backend,156249,feb,18.0
